id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,fetched_timestamp
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,15.973,7385119338.0,22,8264101452.0,243449572.0,17.24,15.68,-1.0975396083255955,-6.42931,-524788513.78715706,-6.63457,462288951.781394,517310908.980471,,700.65,-97.71728,2021-05-10T16:05:53.653Z,2.87,458.24376,2023-09-22T00:29:57.369Z,,2024-04-10T07:59:55.137Z,-0.2590465378372244,-6.429309686726567,-12.85263182065712,2024-04-10 08:00:03
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400,97.459,7255219338.0,23,8190724856.0,606269127.0,100.3,95.97,-2.7948149281470336,-2.78774,-211058788.37975216,-2.82683,74405920.7334713,84000000.0,84000000.0,410.26,-76.26958,2021-05-10T03:13:07.904Z,1.15,8374.303,2015-01-14T00:00:00.000Z,,2024-04-10T07:59:56.912Z,-0.36275346549203774,-2.787743370051891,-4.544898611396936,2024-04-10 08:00:03
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,5.838,5417676690.0,24,5759921391.0,2176378.0,5.91,5.78,0.04403693,0.76004,49435205.0,0.92088,926698253.9,985239504.0,,8.14,-28.30694,2022-02-08T17:40:10.285Z,0.799859,629.188,2019-12-24T15:14:35.376Z,,2024-04-10T07:59:37.920Z,0.33125699211002824,0.7600448539496443,-2.4691775537405323,2024-04-10 08:00:03
aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,12.247,4888746765.0,25,13361116192.0,269118467.0,13.95,12.24,-1.518291577395022,-11.03003,-603692557.0847425,-10.99134,398876128.489479,1090142434.34195,,19.92,-38.44517,2023-01-26T14:25:17.390Z,3.08,298.14223,2022-12-29T21:35:14.796Z,,2024-04-10T07:59:47.192Z,-0.2822036258847783,-11.030032820032405,-17.138933498669058,2024-04-10 08:00:03
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,32.875,4822237824.0,26,6936601122.0,269645064.0,34.74,32.26,-1.7095640266598195,-4.94312,-283051880.9460478,-5.54429,146475988.971323,210700000.0,210700000.0,167.09,-80.29281,2021-05-06T18:34:22.133Z,0.615038,5253.78847,2016-07-25T00:00:00.000Z,"{'times': 72.05592984031311, 'currency': 'usd', 'percentage': 7205.592984031311}",2024-04-10T07:59:48.736Z,-0.24425481036338853,-4.943117686089008,8.407371836977141,2024-04-10 08:00:03
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999,4807963440.0,27,4833573303.0,356429061.0,1.002,0.995815,1.861e-05,0.00186,-40342355.801774025,-0.83209,4811067592.91601,4836693990.73161,,1.22,-18.01742,2020-03-13T03:02:50.373Z,0.88196,13.30568,2023-03-11T07:50:50.514Z,,2024-04-10T07:55:11.276Z,0.04807128806768973,0.0018619096434622704,-0.04582297336364362,2024-04-10 08:00:03
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,8.582,4595880401.0,28,16855090021.0,325613025.0,9.24,8.38,-0.3711805406970843,-4.14557,-210664991.3383379,-4.38288,534612201.0,1960655193.0,1960655193.0,236.84,-96.36791,2021-04-01T13:29:41.564Z,2.64,225.72302,2022-12-16T22:45:28.552Z,,2024-04-10T07:59:58.594Z,-0.009652087390414446,-4.145565345550798,-1.2319778600112639,2024-04-10 08:00:03
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,3.154,4584082661.0,29,5738731445.0,88742838.0,3.35,3.12,-0.18489454706867559,-5.53696,-269103694.7726755,-5.54489,1452213325.68124,1818000000.0,1818000000.0,3.86,-18.29014,2024-04-01T12:34:58.342Z,0.04559639,6824.96087,2020-03-13T02:29:26.415Z,"{'times': 25.28652801029266, 'currency': 'usd', 'percentage': 2528.652801029266}",2024-04-10T07:59:56.750Z,-0.28564064806981876,-5.536961946440505,-5.3392229793854575,2024-04-10 08:00:03
mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,1.339,4380797025.0,30,8346163586.0,80251372.0,1.4,1.3,-0.05046120550849387,-3.63051,-159572816.8315668,-3.51453,3264441707.83684,6219316794.99,6219316794.99,1.54,-12.67245,2024-04-08T09:45:25.482Z,0.307978,336.30473,2023-10-18T02:50:46.942Z,,2024-04-10T07:59:57.956Z,-0.055691775257409634,-3.6305147086877883,3.746879644263072,2024-04-10 08:00:03
cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,10.809,4226683722.0,31,4229298192.0,164485376.0,11.11,10.66,-0.21625776039197575,-1.96154,-81382983.85755491,-1.88908,390688369.813272,390930035.085365,,44.45,-75.66854,2022-01-17T00:34:41.497Z,1.16,832.26759,2020-03-13T02:27:44.591Z,"{'times': 107.0862327225844, 'currency': 'usd', 'percentage': 10708.62327225844}",2024-04-10T07:59:49.500Z,-0.0355612277988901,-1.9615428026073376,-2.7724793547172992,2024-04-10 08:00:03
